iter	Passed	Remaining
667	3334858	1657444
668	3339155	1652108
669	3343333	1646716
670	3347876	1641507
671	3352552	1636364
672	3357249	1631234
673	3361859	1626062
674	3368407	1621825
675	3376603	1618372
676	3383567	1614316
677	3389644	1609831
678	3397002	1605946
679	3404041	1601901
680	3411197	1597903
681	3417572	1593530
682	3422548	1588503
683	3427691	1583553
684	3433820	1579055
685	3440946	1575010
686	3448541	1571169
687	3454478	1566565
688	3459225	1561421
689	3464007	1556293
690	3468867	1551201
691	3473519	1546017
692	3478031	1540772
693	3483631	1536010
694	3488568	1530954
695	3493086	1525715
696	3497957	1520632
697	3502517	1515415
698	3507474	1510371
699	3512277	1505261
700	3516977	1500108
701	3521544	1494900
702	3526024	1489657
703	3530776	1484531
704	3535434	1479366
705	3539737	1474055
706	3544654	1469001
707	3550241	1464223
708	3554869	1459050
709	3559427	1453850
710	3563893	1448614
711	3568529	1443449
712	3573199	1438300
713	3578344	1433342
714	3582726	1428079
715	3587249	1422875
716	3592455	1417942
717	3597313	1412872
718	3602013	1407740
719	3607374	1402867
720	3612495	1397900
721	3617791	1392999
722	3623576	1388285
723	3629704	1383699
724	3635713	1379063
725	3641390	1374298
726	3647573	1369721
727	3652492	1364667
728	3656974	1359451
729	3663096	1354843
730	3669783	1350440
731	3677594	1346441
732	3683837	1341861
733	3689710	1337143
734	3696601	1332788
735	3702267	1327987
736	3709548	1323760
737	3715449	1319034
738	3722319	1314648
739	3728515	1310019
740	3734081	1305164
741	3739689	1300323
742	3746319	1295833
743	3751719	1290914
744	3756646	1285831
745	3762403	1281032
746	3767605	1276043
747	3773684	1271348
748	3779038	1266406
749	3784702	1261567
750	3790157	1256656
751	3794997	1251541
752	3799652	1246366
753	3804198	1241157
754	3808969	1236023
755	3813509	1230815
756	3817599	1225464
757	3822086	1220243
758	3826510	1215005
759	3830808	1209728
760	3835149	1204468
761	3839196	1199119
762	3843997	1194007
763	3848334	1188752
764	3852706	1183511
765	3857147	1178293
766	3861686	1173106
767	3866013	1167858
768	3870293	1162597
769	3875610	1157649
770	3879980	1152419
771	3884205	1147148
772	3888785	1141984
773	3893158	1136761
774	3897241	1131457
775	3901517	1126211
776	3905998	1121026
777	3910504	1115850
778	3915179	1110724
779	3919441	1105483
780	3923805	1100273
781	3928069	1095037
782	3932693	1089903
783	3937620	1084854
